sentiment,weight,associated words
psa,2,"flare, rag"
rheumy,2,"speak, 7th"
simponi,2,"issue, worry"
quantity,2,"old, need"
urgency,2,"less, yield"
color,2,"flesh, pink, soft"
majority,2,"cover, try"
sensation,2,weird
apriso,2,"originally, take, work"
need,2,"body, finger, cross"
stroke,2,"lucky, symptoms"
wasn,2,
coughing,2,"dr, include"
discomfort,2,"issue, triple, abdominal, nonstop"
proctitis,2,"ulcerative, spread, symptoms, attendant"
iron,2,infusions
gas,2,"prior, anemic, protonixgasx, much"
mesalamine,2,"take, drug"
gym,2,"workouts, 2x"
break,2,"med, need, small"
intivio,2,reason
location,2,"good, swap"
safety,2,"guidelines, sensitive"
temperature,2,"high, vary, heartrate"
cure,2,"far, magic"
product,2,"recommend, rat"
dreadful,2,"disease, feel"
inability,2,"mals, grand, leave"
pink,2,"spot, color"
metho,2,thing
tar,2,"cole, use, cream"
region,2,"genital, topicals"
constipation,2,"chronic, start, bad"
remember,2,probably
cent,2,per
finger,2,"joint, star"
psoriosis,2,return
inj,2,"receive, continue"
pharmacy,2,"fill, call"
facility,2,use
percent,2,"clear, try"
paralysis,2,"complete, involve, cause"
neuro,2,"opthamogist, decide"
decision,2,"treatment, make, best"
afford,2,"raise, get"
gilenya,2,try
warfarin,2,"take, need"
meningitis,2,contract
arthralgia,2,board
fair,1,
japan,1,
trough,1,
rejection,1,
letter,1,
criminal,1,back
deserve,1,
visit,1,first
liquid,1,gold
hell,1,stay
fist,1,"give, full"
gratitude,1,eternal
version,1,generic
report,1,give
leflunomide,1,"kill, arava"
ccp,1,higher
brother,1,"treatment, younger"
failure,1,liver
remiciad,1,put
midst,1,dose
accord,1,
enzyme,1,level
threw,1,flare
compare,1,"know, really"
comment,1,
crap,1,tire
ounce,1,ounce
sns,1,shut
headachestiredness,1,get
house7,1,"almost, get, whole"
attack,1,"last, leave"
elbow,1,leave
spiral,1,"flare, downward"
medium,1,dose
money,1,save
inflamation,1,felt
ilieum,1,terminal
situation,1,financial
street,1,cross
wednesday,1,last
forming,1,
felt,1,"prednisone, ive"
xeljanzsulfasalazine,1,vitamins
asthma,1,develop
bronchitis,1,"chronic, happen, end"
bout,1,severe
vaccination,1,take
appendix,1,
canker,1,sores
breathing,1,affect
frustrating,1,help
aneurysm,1,abdominal
mesalmine,1,"put, make"
strength,1,regain
backhip,1,"lower, pain"
zeljanz,1,treatmentactemra
update,1,
arthirtis,1,rheumatoid
yo,1,
hrs,1,spend
needless,1,scar
blessing,1,life
pouchitis,1,
to12,1,10
grace,1,
goal,1,
posture,1,"forward, stoop"
security,1,social
sarcoidosis,1,systemic
zero,1,absolutely
assistant,1,physicians
intake,1,"prior, replace"
neuralgia,1,"postherpetic, subsequent"
cellulitis,1,get
administration,1,"iv, long"
fix,1,
azothioprine,1,take
hospitalisation,1,
marriage,1,
bar,1,"brilliant, relief"
somebody,1,help
colostomy,1,operations
shade,1,
factor,1,play
feb2016,1,"ibdnow, 2014"
fault,1,doctor
matter,1,put
bothering,1,sideeffects
potency,1,lose
trace,1,show
balsalazide,1,diet
hypersensitivity,1,vasculitis
vasculitis,1,"hypersensitivity, leukocytoclastic, develop"
phase,1,initial
session,1,next
saliva,1,glands
beauty,1,flaw
fear,1,face
pan,1,uc
rheumotologist,1,say
bless,1,"god, forever"
shopping,1,"drive, walk"
roulette,1,"russian, play"
rf,1,negative
wince,1,make
endometriosis,1,"diabetes, fibromyalgia"
dermatoligist,1,find
thriving,1,grader
pair,1,wear
tinnitusi,1,"pray, vertigo, depression"
secs,1,nothing
l,1,
chair,1,back
caution,1,extreme
scratch,1,get
attempt,1,fail
ride,1,"ball, playbasketball"
owwww,1,brown
midsneeze,1,halt
yadayadayada,1,normal
monday,1,"second, last"
play,1,
daybut,1,next
opinion,1,"second, seek"
suspense,1,worse
fresh,1,give
citrate,1,free
favor,1,return
b27,1,hla
quit,1,job
teenager,1,undiagnosed
debilitation,1,reactive
episode,1,"move, last"
jan,1,2017
entocort,1,"originally, year"
hurley,1,ibd
plaqunil,1,"become, diclofenac"
mean,1,time
vertebra,1,inflame
pharmacist,1,tell
bump,1,"tell, also"
room,1,drugget
shut,1,swell
bend,1,walk
gene,1,come
disorder,1,bipolar
sucker,1,go
tightness,1,
pcp,1,see
crotch,1,"feet, underarms"
word,1,say
congestion,1,sinus
tall,1,25
wasnt,1,treatment
battle,1,lose
born,1,new
approval,1,get
kicking,1,start
vomiting,1,"cause, constant"
anger,1,extreme
evening,1,last
coach,1,"swim, sudden"
spondilitis,1,ankylose
sufferer,1,diseases
sulfasalizine,1,antibiotic
prilosec,1,take
conjunction,1,seem
formula,1,"seem, magic"
knot,1,disappear
dna,1,alter
abbott,1,labs
selfinject,1,pen
limp,1,"severe, go"
income,1,"certain, yearly"
buddy,1,"meet, friends, year"
moving,1,wrist
wake,1,pain
anybody,1,get
feedback,1,welcome
ease,1,felt
joy,1,shingle
drainage,1,"heal, copious"
methedrol,1,take
heartburn,1,give
outlook,1,"positive, keep"
charge,1,take
mucus,1,little
setback,1,first
psoraisis,1,plaque
overat,1,nod
reach,1,like
resortit,1,
jointseven,1,"affect, major"
mix,1,brilliant
backache,1,bad
mobic,1,cortisoneresume
comfort,1,
confidence,1,affect
girl,1,normal
impact,1,"differencereality, big"
covering,1,90
sweaty,1,"super, throw"
wan,1,
mention,1,come
sleeve,1,gastric
shrunk,1,spleen
event,1,"stressful, undergo"
burst,1,quick
goodbye,1,say
jawline,1,
forehead,1,sometimes
clockwork,1,"cycle, one"
ovulation,1,start
taste,1,
whatever,1,"use, burn"
syringe,1,take
tbs,1,take
act,1,
hubs,1,better
dil,1,"cause, lupus, druginduced"
wholebody,1,pain
billing,1,mess
bill,1,"16000, try"
blow,1,severe
fun,1,"give, pancreatitissuper"
thanksi,1,deal
plenty,1,drink
distress,1,"lower, g"
bruising,1,dark
timer,1,place
injecting,1,
aleve,1,take
burn,1,"whatsoever, shots"
pa,1,disease
seldom,1,flare
starter,1,pack
barefoot,1,walk
treatmentthis,1,injection
market,1,canadian
frustration,1,voice
team,1,"treatment, snippy, card"
copay,1,
replacement,1,
voice,1,coughfluid
diarhea,1,"feet, uncontrolled"
arch,1,"radiate, leave"
isnt,1,worth
cimpay,1,use
practice,1,close
schedule,1,"new, get"
flash,1,hot
hoarseness,1,sight
threefold,1,increase
s,1,inflammation
methatraxe,1,switch
contributor,1,"treatment, major"
cidp,1,polyneurothapy
inflamatory,1,polyneurothapy
erosion,1,take
place,1,take
lease,1,1
athlete,1,marry
thought,1,take
jdisease,1,active
route,1,take
compassion,1,
competition,1,"km, run"
loosening,1,feel
bike,1,rid
mucinosis,1,call
plain,1,"hurt, work"
simpono,1,take
household,1,chores
saturday,1,august
dvt,1,come
ramipril,1,take
analyst,1,work
leave,1,day
allergy,1,cat
toe,1,second
kick,1,"lot, treatment"
dx,1,recent
disposing,1,properly
mediciness,1,"infusion, step"
yeaterday,1,get
sugar,1,years
ibuprofen,1,help
pocket,1,quanteferontest
bloodwork,1,"strange, get"
edema,1,"pneumonia, contract"
tissue,1,cells
hypertension,1,
made,1,worse
reimbursement,1,get
therapist,1,"muscledeterioration, physical"
youd,1,expect
exacerbation,1,
vengeful,1,"come, almost"
moisture,1,keep
stick,1,"non, gauze"
gauze,1,stick
housework,1,
normality,1,give
cocktail,1,"current, dmardinfusion"
temp,1,
intubation,1,need
duty,1,"heavy, antibiotics"
familyi,1,lose
aspect,1,affect
washington,1,diagnose
guy,1,little
expense,1,"pay, extra, monthly"
oss,1,deflatel
painim,1,intense
deaf,1,
load,1,"butt, oral, try"
oxycodone,1,currently
eyesight,1,change
driving,1,limit
norco,1,take
c,1,scope
november,1,2020
suggestion,1,
thursday,1,"receive, last"
infsuion,1,"first, receive"
waking,1,
teacher,1,"timeim, also, exhaust"
stuffy,1,though
biotin,1,take
road,1,
ton,1,lose
debilitating,1,sideeffects
emts,1,say
bone,1,"pain, severe"
ophthalmologist,1,"injectionthe, say, 8th"
verge,1,treatment
sort,1,control
ghost,1,haunt
annoying,1,sideeffects
stuffyrunny,1,nose
hammer,1,take
shegella,1,"flare, get"
cd,1,"disease, diseases"
refuse,1,take
ivs,1,take
induction,1,
soif,1,"soif, gut"
gp,1,stop
sinusitis,1,chronic
pimple,1,growths
mezzavant,1,woman
colposcopy,1,sideeffects
insistent,1,itch
tripfall,1,
drugsdr,1,
blue,1,pain
yearmy,1,diseases
livera,1,ctscan
researchi,1,
size,1,rashes
observation,1,"close, recommend"
exposure,1,
xantac,1,prednisone
colic,1,"start, severe"
vedolizimab,1,
crawling,1,tingle
bloating,1,bad
stool,1,"form, normal"
journey,1,long
connection,1,appear
mistake,1,pain
resistant,1,"become, steroid"
conduction,1,"nerve, test"
syndrome,1,"neurologists, leg"
keep,1,"dizziness, disability"
bc,1,tear
drain,1,"mental, try"
equipment,1,"diagnostic, rather"
fodmap,1,marijuana
marijuana,1,fodmap
cimizia,1,put
mgs,1,prescribe
origin,1,unknown
consumer,1,"high, use"
endoscopy,1,"clear, years, show"
film,1,whole
quarter,1,guaranteeu
scientist,1,rocket
doesnt,1,
budesonide,1,"cause, also"
crp,1,level
lip,1,swell
vedolizamab,1,start
dv,1,"gurgle, black"
fluid,1,pain
granulomatosis,1,orofacial
unit,1,"nhs, swap"
jaundice,1,become
hid,1,pharmaceutical
maker,1,make
crisis,1,"financial, company"
autonomiccns,1,symptoms
vedoolizumab,1,try
agony,1,"avoid, prolong"
severity,1,"afterward, get"
cholangitis,1,"psc, sclerosing, primary"
ileum,1,terminal
illeostomy,1,"reverse, temporary"
activity,1,"disease, show"
clue,1,
rushing,1,
brochure,1,"give, go"
gap,1,extend
butinsurance,1,symphon
rectum,1,effect
christmas,1,"go, last"
possibility,1,become
b12,1,
join,1,pain
ankleswrist,1,especially
mush,1,pass
substitute,1,"good, drug, something"
dog,1,miles
beginning,1,stag
microbiome,1,
mp,1,work
monthsnothing,1,first
resultsalmost,1,"better, constipation, infusionmuch"
wardrobe,1,"new, get"
remacaid,1,try
gastroenterolgist,1,suggest
length,1,last
halflife,1,"reflect, true"
nonresponder,1,
responsive,1,non
shape,1,"best, mid30s"
surgerys,1,bless
colonoscopys,1,many
normalcy,1,perceptions
curse,1,"terrible, look"
healthyexercise,1,individual
pinkness,1,"slight, clear"
harder,1,stool
phlegm,1,"little, cough"
attention,1,"pay, much"
bodycoverage,1,
itch,1,bleed
flakiness,1,go
beach,1,sideeffects
everybody,1,
insanity,1,workouts
dress,1,wear
embarrassment,1,save
sensitivity,1,ache
milk,1,tolerate
methroxate,1,try
johnson,1,cover
cosentyx,1,luck
soreness,1,"notice, slight"
hemi,1,colectomy
girlfreind,1,hought
sleve,1,shirt
acupuncture,1,herbs
answer,1,meditation
workout,1,"old, single"
look,1,take
bug,1,bite
action,1,give
clearance,1,full
scabby,1,mess
prone,1,seem
injury,1,
picture,1,"post, cover"
tank,1,top
tops,1,tank
bsa,1,clear
news,1,good
call,1,
palm,1,bad
scaley,1,"red, hot"
blocker,1,
convenient,1,convenient
tomorrow,1,march
flaking,1,clear
mind,1,lose
pregnancy,1,"term, first"
trimester,1,third
postpartum,1,"months, feed"
account,1,"similar, find"
wisdom,1,teeth
winner,1,"lucky, guess"
dandruff,1,scale
ring,1,"wear, wed, remove"
bobby,1,"good, life"
sooner,1,start
friend,1,"best, lose"
poison,1,stuff
paste,1,"cover, chunk"
childhood,1,entire
responsibility,1,"take, full"
stalara,1,call
information,1,put
surprisingly,1,return
patch,1,"appear, first, red"
yearsso,1,let
draw,1,back
aching,1,
embrel,1,previously
scaling,1,go
overweight,1,smoke
rhinitis,1,"experience, chronic"
remecade,1,
rmd,1,put
bicarbonate,1,"take, sodium"
antihistamine,1,work
specialty,1,pharmacies
golf,1,mow
aphasia,1,delusions
blindness,1,epilepsy
epilepsy,1,"nonstop, blindness, intermittent"
semblance,1,back
lab,1,rat
brainer,1,
hospitalization,1,"wreck, constant"
havoc,1,wreck
demyelination,1,"come, cleanno"
proof,1,"positive, show"
complaint,1,biggest
opthamogist,1,"neuro, misdiagnosed"
blind,1,
sepsis,1,develop
tract,1,"least, urinary, headaches"
theyve,1,imply
acronym,1,forget
minute,1,love
conversation,1,serious
lesion,1,go
stresser,1,
loath,1,try
initiallyi,1,"avonex, learn"
betaseron,1,"felt, strong"
check,1,ins
witness,1,"comment, several"
deployment,1,return
bataseron,1,start
movement,1,issue
scooter,1,
emphasize,1,"terrible, enough"
categoryno,1,optimum
pulse,1,jump
copazone,1,stop
cambia,1,take
treatmenteven,1,happy
breastfeeding,1,stop
cut,1,payments
coma,1,twice
marathon,1,run
rebiff,1,"use, help"
confusion,1,mental
gait,1,walk
twitch,1,"forward, strangers, leg"
insane,1,go
supporter,1,"know, biggest"
translator,1,
sentence,1,skip
remembering,1,keep
fan,1,
tegretol,1,doctor
abcs,1,
figure,1,"go, stable, say"
contact,1,close
copaxion,1,medication
tender,1,"right, indexfinger, swell"
ray,1,"sideeffects, x"
misery,1,get
ambulatory,1,get
think,1,one
status,1,jcv
speech,1,slur
wonderinfusion,1,become
