text_index,medication,rate,comment
184,Humira (adalimumab) for Crohn's Disease,10,"Have Crohn's for over 20 years, been on every drug available including Infliximab. Infliximab helped but affected the nerves in my legs and feet. Now on Humira for a year, at first the dose was one injection every two weeks which helped a bit. Now on 2 pens every 2 weeks with fantastic results. No signs of Crohn's now, only side effects are sneezing and runny nose. For me a wonderful drug."
185,Humira (adalimumab) for Psoriasis,10,I wanted to tell people about Humira. I have been on it 10days with no side effects! My scalp was 95% covered by Psoriasis. I started my first injection March 1st and today my scalp and behind my ears are clearer. The Humira pen is nothing to worry about doesn't hurt. Leave it out 30 mins and inject in your stomach easy as can be! Good luck everyone.
186,Humira (adalimumab) for Rheumatoid Arthritis,9,"Its been a whole month since my last posting, I recently went to see my Doctor.....and guess what, NO inflammation whatsoever. But have noticed that I have had lot of sinus congestion. But who cares as long as my rheumatoid arthritis factor is @ ZERO."
187,Humira (adalimumab) for Ankylosing Spondylitis,10,"This is a fantastic medicine. I'm 31 years old and have struggled with back pain since being about 25. Being very tall (6'4) many of the issues were put down to my tallness. 
When the back pain started affecting my breathing I knew something more that being tall was a play. 
After a number of differing referrals, I was finally passed to a Rheumatology specialist who spotted my symptoms very quickly and suggested my treatment. It took over a month to get the test results and approvals but when I started treatment the results were within a week for me.
Now I have next to no pain and I have no real symptoms. 
The injections are uncomfortable but for 10 seconds of pain for 2 weeks of being able to move and breathe without being in pain is worth it."
188,Humira (adalimumab) for Hidradenitis Suppurativa,1,"My wife was put on humira for HS. She was taking for two months when she started to get what looked like ant bites on her hands and feet. The nurse practitioner who put her on Humira said that wasn't from Humira so she kept taking it but after her next dose it exploded and got way worse. So after doing some research myself I found out pustular psoriasis was one of the rare side effects. Here we are two months after stopping taking it and she's got all kinds of skin issues like contact dermatitis, severe pustular psoriasis which is only being controlled by steroids.  She has lost 50% of her hair. Humira has ruined our lives."
189,"Humira (adalimumab) for Crohn's Disease, Maintenance",9,"As a new Crohn's patient I had read a lot of horror stories about this disease and the medications used to control it - myself, I went on Azathioprine first but it stopped working gradually. Humira has honestly been a God send so far, I have my life back and no symptoms 99% of the time, I'm so thankful! Only thing I'm worried about now is if it stops working, but nothing has happened yet and I am past the danger zone apparently."
190,Humira (adalimumab) for Crohn's Disease,1,My husband was in humira for just over a year.  It helped with the crohns symptoms but he was constantly in hospital with infections the most serious being pneumonia.  While being treated for pneumonia they discovered his blood counts weren't right and 2 months later he was diagnosed with leukaemia.  We later found out this is one of the side effects.  On taking humira my husband signed his death warrant.  After fighting the leukaemia for 18 months my husband lost the battle.  FOLLOWING OUR EXPERIENCE I WOULD SAY STAY AWAY FROM HUMIRA
191,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,"I have been taking Humira for 5 months after having had surgery for 3 fistulas. Humira has changed my life drastically. I am a senior in a high school and prior to humira I was constantly in pain and when i wasn't in pain I was worried about when i would be in pain and I had fistulas for 2 years without any surgeries. Since I have been taking Humira I almost forget i have any disease because I feel normal again. I can go out without worry and am pain free. I haven't gotten any fistulas since then either, I really can't say enough good things about Humira. Love it!!"
192,Humira (adalimumab) for Rheumatoid Arthritis,8,"I have rheumatoid arthritis for last 7 years and was against any form of medication but living with pain day in day out and caring for new born was very hard. Before Humira I was taking 6 different tablets daily and end up putting on lots of weight. Just started Humira 6 weeks ago apart from not being able to sit on the floor and regain my life back. So far no side effects, just thirsty and fatigue when over doing. Keeping fingers cross. 

I found if you let the injection to reach room temperature it doesn't hurt that much, only the needle sting."
193,Humira (adalimumab) for Psoriasis,10,"I have been using Humira to treat my psoriatic arthritis for 12 years along with Methotrexate (currently 43 yrs old). My psoriasis (and arthritis) went away after 3 months of using them and I've never had any side effects. My doc asked me to stop using Humira to see if it was still necessary and now after 3 months my psoriasis is back. Going back to the doctors to get his approval to go back on it. It has worked perfectly for me, you just have to deal with the pain of the monthly injection, also it is very expensive if you don't have insurance."
194,Humira (adalimumab) for Ankylosing Spondylitis,,"I have had ankylosing spondylitis for 20 years, 45 now, was able to cope well with anti-inflammatories. Pain and mobility really started to get bad in last 5 years, last year anti-inflammatories stopped being effective, major loss of mobility, lots of pain and had to add pain killers. Started Humira and was pain free in 1 month, gained back all mobility, pain free and able to do any exercise I want without any problems. 6 months in and no side effects as yet."
195,Humira (adalimumab) for Ankylosing Spondylitis,10,"Humira is a miracle.  Prior to being on Humira I had tried two previous solutions NSAIDs and a non-starch diet with lots of exercise.  NSAIDs had absolutely no effect.  The non-starch diet with some exercise did help bring the pain to what I would call manageable but flares would still happen and with them would come several day cycle of poor sleep, less exercise, and so on.

My rheumatologist explained that some new research suggest Humira may actually help to stop the progression of the disease so I gave it a shot (pun, hah!).

It took about 3 weeks to start kicking in and by week 5 my symptoms were totally gone.  No back pain.  No shoulder pain.  No waking up in the middle of the night."
196,Humira (adalimumab) for Rheumatoid Arthritis,10,"I started on humira a year after my diagnosis and felt better overnight.  It wasn't the pain that was doing me in it was the total lack of energy and not feeling like myself.  I finally felt normal again.  My doctor wanted me to also take methotrexate but the oral pills caused almost constant vomiting.  After my wrist problems I tried the methotrexate again with no success so was put on enbrel.  I had some minor skin infections on humira but never ran a a fever and could always be cleared up.  So after almost 3 years on humira I was switched to enbrel.  My energy plummeted, although I had no pain or flares just constant respiratory infections with fevers.  I was put on sub q meth and humira and energy returned.  I am so much happier!"
197,Humira (adalimumab) for Hidradenitis Suppurativa,1,"Unfortunately, Humira made my HS worse rather than better. It was concentrated mostly in my groin area with a few spots showing up sporadically under my arms. After injecting myself weekly for 15 months, I now have lesions that are uncontrollable in my groin and buttock area (including my outer hip area), around my breasts, traveling up my neck and head, and all around my face. I can't believe this is what I have to deal with now."
198,Humira (adalimumab) for Rheumatoid Arthritis,8,"I've been taking humira for two years for severe rheumatoid arthritis. One 40 mg shot a week. It's worked wonders on my arthritis. I also take 15 mg methotrexate once a week. 
No side effects except for extreme mood swings from extreme anger to laughing so hard I'd 
be in tears. I thought I was going crazy until I saw comments from other people taking humira with similar side effects. Thanks to everyone for sharing your experiences .I'm not nuts after all."
199,Humira (adalimumab) for Psoriasis,1,"I’m sharing this only with the hope that it might help someone else. My daughter was started on Humira  six months ago for psoriasis. Three months in she developed what looked like a very itchy rash over her entire body. After two weeks the rash turned into what looked like psoriasis plaques. Her physician switched her to taltz.  She had some initial clearing, but it came back with a vengeance. Tried  several different types of steroid creams, but the rash continued to cover 90% of her skin  on her arms, legs, and torso. Last evening, with nothing left to lose, I smeared  Vermont’s  bag balm  all over her back, as this was the worst area. This morning when she woke up there was a noticeable (I’d say about 50%) improvement  on her back, with no change to the skin on her extremities. 
 I do not work for the company that makes the cream, And I’m not trying to sell it to anyone. I only  wish to share our experience."
200,Humira (adalimumab) for Ankylosing Spondylitis,10,"Prior to taking Humira, I competed in marathons, triathlons and an Ironman. Additionally, I was a swimming coach. All of a sudden, I could not walk. I spent days in the hospital with no answer. 

After one back surgery, and a second one being planned, my rheumatologist prescribed Humira after testing positive for Ankylosing Spondylitis. Within two months, I had no more back spasms, I could sneeze with out a spasm, I could stand long enough to wash dishes. I began walking normal again. It was a long two years of pain and suffering. Now taking Humira, I have my life back. I feel great!

Do know, it does 'turn off' your immune system. I found, taking a probiotic with immune support (and lots of hand washing!) it was not a problem."
201,Humira (adalimumab) for Ankylosing Spondylitis,10,"I was diagnosed with Ankylosing spondilitis 8 months ago at the age of 49 although I had back pain and sacroiliac joint pain for many years which seemed to be getting worse and worse. 
I started getting inflammation in my eyes about 10 years ago. (uveitis) On my orthamogist's advice, I saw a reumatologist and even though white lines appeared on my SI joints on MRI scans she was unhelpful. 
I got worse and kept self medicating. After more bouts of uveitis I went to see the reumatologist again who tested me for the HLA gene. When it came back negative, she dismissed me again until 3 years later I could no longer walk even though I had been swimming and doing Pilates. 
Humira has given me my life back after 4 months. My mobility is back."
202,"Humira (adalimumab) for Crohn's Disease, Maintenance",8,"I have been a Crohn's sufferer since I was 18, I'm now 47. I have had two bowel resections, multiple blockages and bowel symptoms that left me house bound for days at a time. I have been on Prednisone so much that I have maxed out the lifetime exposure limit, have tried Methotrexate (nausea+++), Pentasa (no change) and Remicade (serum reaction). I have been on Humira now for over 8 years and aside from a few minor flare-ups, I have a life back. Bless all of the programs and benefit companies that have recognized that this medication has restored some people to being productive once again."
203,Humira (adalimumab) for Rheumatoid Arthritis,2,"Humira was my first medicine to try for recently diagnosed rheumatoid arthritis. Had to stop after the 2nd injection due to nausea, lethargy, my teeth hurt and had 3/4 migraines a week. Trying a new medicine now and hope to see results. Humira has a discount program that you only pay $5 for. Ask your doc about it!"
204,Humira (adalimumab) for Ankylosing Spondylitis,9,"I see some comments about painful injections, I had that too but I wasn't letting the medication warm up after taking it out of the refrigerator, if it warms up it's no problem. I've been on this about 4 months and I'm feeling better every week. It's awesome."
205,Humira (adalimumab) for Rheumatoid Arthritis,8,I was diagnosed with rheumatoid arthritis after 2 years of awful pain. I am now using Humira with methotrexate. I also take sulfasalizine antibiotic daily due to lowered immunity. I take Prilosec for heartburn. I am able to work a full time job and do most things that I enjoy.
206,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,Humira gave me my life back.  I was sicker than I had ever been and this is the first medicine that consistently made me feel better.  I take it in conjunction with Pentasa which seems to be the magic formula for me.  I don't like giving myself a shot but I am so grateful for how I feel.  Diet is a big part too but this has been a miracle for me.
207,Humira (adalimumab) for Rheumatoid Arthritis,9,"The cost is the only reason I give it a 9 star instead of 10.
I have been on Humira for about 2 months. The very next day after my first injection I could close my fingers for the first time in months, my knees bent better, and a knot on my hand disappeared. Talk about a surprise for me! I worry about long time effects of being on Humira but will figure that out later. I'm also on methotrexate and prednisone. I have recently quit Plaquenil and Celebrex."
208,"Humira (adalimumab) for Crohn's Disease, Maintenance",9,I had forgotten how it felt like to be normal and healthy. To have energy. I was experiencing this after three months on Humira only to be abruptly dropped from my insurance plan. So thankful for the Abbvie patient assistance plan which has now approved me for a full year! I am looking forward to getting better again in the months ahead. I was afraid I was going to lose my job because of the flares but now I am hopeful. Thanks
209,Humira (adalimumab) for Rheumatoid Arthritis,8,"I have been on all the medicines and have achieved remission of various lengths with gold injections (1.5 yrs), minocycline (8 yrs), Enbrel (5 years before the efficacy started to diminish) and Humira (1 year) over the past 30 years. As a result of all the medicine treatments I now have horrible lung complications similar to COPD (have never smoked anything). When the pain is excruciating you are willing to take anything to make it better. Enbrel and Humira have left me with a continuous sinus infection that I keep under control with regular salt water rinses. I have no ability to fight off infection and keep getting lung infections which require me to stop the injections for the arthritis and every time you stop, your body builds immunity."
210,Humira (adalimumab) for Rheumatoid Arthritis,10,"I have been taking Humira for four years. Before starting I had severe RA pain in different joints most of the time and RA flare ups left me very debilitated. Humira began to work within the first two months. I take the injection every 10 days. I currently have no RA pain, experience no flare ups and have no side effects. It has been a wonder drug for me."
211,Humira (adalimumab) for Ankylosing Spondylitis,1,"Took humira for AS and it worked great the first month and my pain went down to a 1.  By month 6, I had contracted klebsiella pneumonia from my lowered immune system from this drug and a subsequent systemic candida infection.  That was 10 years ago and I still have severe systemic candida from this poison.  Nothing has helped...antifungals work but only temporarily because Humira permanently changed my immune system.  I am now on permanent disability because of having to cope with both my original illness as well as the devastating effects from this DNA altering drug. People...Abbotts labs does not care about you...only their bottom line and making billions. Humira is now black labeled meaning you take it at your own risk and Abbott labs will not be responsible if you get infections or cancer from it because you were warned by their label...."
212,Humira (adalimumab) for Rheumatoid Arthritis,10,"I have had rheumatoid arthritis for three years. It came on overnight and totally overwhelmed me in pain. Thanks to a great doctor I was immediately referred to a Rheumatolgist who started me on methotrexate(weekly), prednisone(daily) and Humira every two weeks. My doses of Prednisone was gradually reduced and I have now been off totally for 6 months. I went from 20mg of Methotrexate weekly to zero now. Humira is the only medicine being taken weekly and even though stiffness and swelling have returned to some degree I am still great compared to where I started. Side effects include higher liver enzymes and daily itching outbreaks. Otherwise, if I can remain at this level for another 30 yrs. I'll be fortunate. "
213,Humira (adalimumab) for Psoriatic Arthritis,10,"I was put on Humira when I was 25 and I am now currently 31.  The first thing I noticed was that it cleared up my plaque psoriasis very quickly.  My nails and scalp looked normal within 3-4 weeks.  I have PsA in my spine, ankles, knees and hands.  I was having trouble walking and experienced chronic fatigue which caused me to gain 20 lbs very quickly.  I would fall asleep from exhaustion after getting myself showered and dressed.  After the Humira took effect I had my energy back.  I could exercise again and I was back to doing the things I enjoyed.  I still experience flare ups (mostly due to stress) and I still have difficulty sitting for long periods of time, but this drug was life changing.  Vicodin helps me with the flare ups."
214,Humira (adalimumab) for Rheumatoid Arthritis,9,"I've been on Humira nearly a year now (I use the self-inject pens) for RA. Previously I'd been on Prednisone, which helped the pain but had horrible side effects, and methotrexate, which didn't help and had horrible side effects. Humira has been a life safer. The shot itself definitely stings, especially in the thigh, but I went from constant pain, a severe limp, and inability to do much of anything to basically a slightly less flexible but otherwise normal able-bodied person. No side effects have yet appeared. I don't know how I managed without it for so long. It's not cheap, but if you make under a certain yearly income and you call the company, they'll work with you to make if affordable."
215,Humira (adalimumab) for Ulcerative Colitis,10,"I noticed a few bad reviews so I wanted to share a good one. Started January 7, 2017. Still on Humira and in remission. My insurance agent made it 8 years and I just met a friends buddy who is in year 11 of remission on Humira. Give it a go! If you’re at the point of looking up reviews on meds, you need to try for yourself. Just because one person had a bad experience doesn’t mean you will. Good luck!"
216,Humira (adalimumab) for Rheumatoid Arthritis,,"Hi! I have been living with RA for the past 8yrs. I have it in my left foot and both wrist moving to my knees. (lovely)@ 53? As everyone knows who is on the site the pain for most of us is constant. Wake up w/ it still there if you want to go walking mid afternoon. Dinner time tired don't feel like cooking. Tell your MD, They tell you about Humira.... All these great biogenics on the market, how good are they? Last Sat I ended up in the hospital over night. Feeling heart racing.  Sweating, body and mind feeling exhausted can't move or even lift my hand. Has anybody got any of these symptoms while taking Humira. 

I welcome any feedback.."
217,Humira (adalimumab) for Rheumatoid Arthritis,,For ankylosing spondylitis and Rheumatoid arthritis. I am 28 years old and today was my first dose. They did two in one and after 15 minutes I felt an ease in pain and stiffness  but probably won't feel the full effect for a couple a days. So far so good. You have to work with medication. It's a 50/50 type of deal. 
218,Humira (adalimumab) for Rheumatoid Arthritis,10,My 86 year old mother has been on Humira for the past 2 years. She combined this treatment with methotrexate.  Towards the end of the 2nd year the effect of each Humira dose lasts less than 14 days at a time.  Going down to 10 days at a time then it completely stopped working for her.  She has an excellent doctor and we are looking at other alternatives for the moment. Possibly Orencia.  Overall Humira worked wonders while it lasted.
219,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,I’ve had Crohn’s disease for 3 years now and have been on Humira for 2 and a half years. I love this drug. I am currently 19 and it has let me go to college and live a regular life. The only problem I had with it was the stinging pain I felt when it was injected but they have recently changed that so now it’s painless.
220,Humira (adalimumab) for Ankylosing Spondylitis,3,"I resisted taking this drug for at least a couple of years, but finally gave it a try. Sulfasalazine didn't do all that much by itself. After about 3 months, the pain was significantly lessened. I could walk much easier, the back pain much lessened. After about a year, shingles. Oh, joy. About 3 months after that, huge, ulcerated sores started developing. No one could explain what they were. Copious drainage, would not heal. Completely stopped taking Humira at that point. Took 2 months to stop new sores  from cropping up. Every single one is still present, 4 months later, in various stages of healing. Do NOT take this drug if you have ANY other option. I shudder to think what it's doing or has done that I don't know about yet."
221,Humira (adalimumab) for Ankylosing Spondylitis,9,"Female, age 40 with Ankylosing Spondylitis on Humira 2 x monthly for 2.5 years.  I am so thankful for this medicine! I was crippled by this disease during inflammation for several years and Humira eliminated it.  The only drawbacks are that I am still chronically fatigued, am prone to infections, and fear the unknown long-term effects of Humira."
222,Humira (adalimumab) for Ankylosing Spondylitis,10,"I am 19 years old and was diagnosed with Ankylosing Spondylitis (AS) when I was 17. I was prescribed Humira very quickly because my AS caused severe back, hip and ankle pain and have been taking it for over a year now. So far, the medicine has worked very well and I feel no pain whatsoever. The medicine does make me feel tired, but this is a genuine side effect."
223,Humira (adalimumab) for Rheumatoid Arthritis,5,"I am 18 years old, I just found out I had rheumatoid arthritis and I have been on Humira for 3 months. I have flare ups every once in a while but I do have to take methedrol along with it. it's a strong medicine and it messed up my stomach and gives me heartburn also. 


I guess for me Humira will take the 6 months it will to take effect and till then this winter will be the worst for me. 

keeping a positive outlook on this knowing I'm not the only one."
224,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,"I have had Crohn's disease for about a year and a half and Humira has been amazing. I felt relief within one month and was in remission within 9 months. Life is pain free..only side effect is yeast infections every week and feel like I have the flu the week right before due for shot. Shot is painful for 10 seconds, but it is worth it. Remicade is only other option, using it as last resort. Otherwise very satisfied."
225,Humira (adalimumab) for Ulcerative Colitis,10,"Hey everyone! I decided to write a review because I was extremely nervous about trying this medication due to all of the negative reviews on here. My U.C. got really out of control without me even realizing it throughout college, and eventually I decided to take charge of my health. My GI and I discussed all options and decided Humira was a good fit. I have now been on it for a year and fully in remission!! No blood and very little mucus for the last 7 months. I was discouraged because I saw no improvement for about 3 months but I began to feel so much better soon after. I have not been sick from the immunosuppression at all, I was also worried about that. Give this medication a good try and give it some time if it is a good fit for you!!! Good luck everyone!!"
226,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,"This medicine has given me my life back. I was initially very afraid because of all the potential side effects and I tend to react severely to medicines. But my Crohn's Disease and rheumatoid arthritis progressed to the point where I couldn't function anymore. I started Humira in conjunction with Plaquenil and it has completely turned my life around. The pain and stiffness are gone, the fatigue is significantly reduced and I have lost weight and have the energy to exercise again. The injections are not pleasant, and the initial side effects of nausea and flu- like symptoms were pretty rough for the first couple of injections. I got worse after the first one, but I'm glad I stuck it out because I'm doing fantastic now."
227,Humira (adalimumab) for Rheumatoid Arthritis,7,"For the most part the experience has been good, my rheumatoid arthritis is in remission and no pain or stiffness. Recently had my first setback a serious bladder/kidney infection that came on supper fast. A short hospital stay with IV antibiotics and then followed up with a 12 day course of Cipro it cleared up. If this occurs again I may rethink the whole biological course of action."
228,Humira (adalimumab) for Psoriasis,10,"Reading these reviews finds me nodding my head with approval. After years with plaque psoraisis, its over...at least for now.  I did creams, Enbrel for 2 years, now Humira for about 6 months.  Initially it worsened then got way better.  Now, I have been off the Humira for over 3 months and nothing has come back.  My skin is 99% better.  I had over 50% coverage on my body and it was unsightly, painful, and nasty.  Now it's all gone.  At this point in time I have to say: this stuff is remarkable."
229,Humira (adalimumab) for Psoriatic Arthritis,,"I  have had Psoriasis  for 32 long years on scalp, knees, elbows, back, sides, rear end area and have tried all the prescription creams and steroid injections, salt water and all the home remedies. Some helped but never got down below 20% coverage. The past 2 years I have had psoriatic arthritis in my toes, elbows, back, hips and neck. On 24 June 2016 I injected myself with Humira, within 2 days my pain throughout my body had gone down to a pain level of 1 to 2 from an 8 on a scale of 10.  I have not seen anything like it !!!!  I have taken my second dose and the pain level is around 1.  I was blaming my pain and stiffness on old age, I feel like I better than I have in 20 years. My psoriasis have lost all the scale and are smooth."
230,Humira (adalimumab) for Rheumatoid Arthritis,,"Excellent drug for me..My illness was mis-diagnosed thus when it came to use the meds for controlling the disease either had mild to severe allergic reaction, or broke thru the meds within a year 1/2..I am in 3rd stage RA..Drugs like humira were out of reach for those of us in the moderate to severe stage due to cost..Humira is my last resort..It helps me tremendously.."
231,Humira (adalimumab) for Rheumatoid Arthritis,1,"I am a 57 year old female, diagnosed with RA 29 years ago. I took Enbrel for 9 years, but began to have more frequent flares, so my rheumatologist switched me to Humira. I took the first injection 20 days ago and felt great until day 12, when I developed severe flu-like symptoms, with aches and pains and had a significant rash over my entire body and face. It was like having a major RA flare plus an itchy rash and headache at the same time.  I was prescribed a six-day dose of prednisone and 24 hour a day Benadryl. I had little  improvement three days latter and received a steroid shot  which was three days ago.  Four days later, I still have significant overall weakness, a major headache and injection site reaction from the initial and last injection."
232,Humira (adalimumab) for Psoriatic Arthritis,10,"I'm 22 years old and I was only 19 when I got diagnosed with psoriatic arthritis. At first, I didn't know what was happening to me. I suddenly couldn't do my daily exercise because my knees, feet, arms, fingers, back and neck started to hurt so bad that it was difficult for me to get out of bed, not to mention getting down the stairs. Every rheumatologist appointment was turning into a torture session with the cortisone injections and liquid being removed from my knees. Methotrexate did not do me good, so my doctor finally decided to start filling papers for my Humira injection. 1st injection was last week and WOW! is all I got to say. I've never been so happy in my life. My mornings are painless and now I work 10 hours a day without any Tylenol or prednisone."
233,Humira (adalimumab) for Rheumatoid Arthritis,10,"I have been on Humira for 2 and a half years.  This stuff is a great medicine.  Yep it stings for a minute or two, but seriously, are you really going to complain about that with all the relief it brings?  Take the warning signs seriously and keep in touch with your doctor.  And be thankful there is something that brings us not only relief, but slow down the damage to our joints."
234,Humira (adalimumab) for Psoriatic Arthritis,10,"My son was diagnosed with Juvenile Psoriatic Arthritis when he was in fourth grade. By the time he was finally diagnosed he was in a wheelchair and unable to move most of his major joints...even his jaw was affected due to the severe arthritis. Today I can say thanks to God, Humira, and monthly visits to Shriner's Hospital he has graduated from High School and is now in REMISSION!"
235,Humira (adalimumab) for Rheumatoid Arthritis,10,"I was on HUMIRA for three years after 14 years of methotrexate and a mix of other non biological meds. HUMIRA was brilliant however it has recently stopped working so well and my specialist is changing me to another anti TNF biologic. I'm really sad and sorry to leave my humira behind, it gave me a great three years, the best I've had since I first got RA. Will wait to see what the new MED is like, fingers crossed."
236,Humira (adalimumab) for Psoriatic Arthritis,10,"I have had psoriasis since I was 15 and mild psoriatic arthritis since I was 20, now four years later my psoriasis started to flare up after nearly a three and a half year remission due to treatment and develop in all the old places with it came severe psoriatic arthritis. Over the course of four months I went from moving normally to being in severe nearly constant pain and walking with a cane. I went to my dermatologist to see about any treatments and she prescribed me Humira. The day after the first two pen treatment I was walking with little pain and within a week I didn't need a cane any more. So far the only side effect I have had was a mild headache after the injection. Humira essentially gave me my life back."
237,"Humira (adalimumab) for Crohn's Disease, Maintenance",10,"I've had Crohn's disease since 05' and I struggled through high school with flares, pain, and just off balanced white blood cell count.  My doctor put me on Remicade when I was a junior. And a few days after I could barely walk, my legs were killing me, but to be it was worth it because I had somewhat of my life back. The summer I graduated we decided it would be easy to switch to Humira since I was going off to college.  It's my senior year and this summer will be my fourth year on Humira and I'm actually just having my first flare since starting Humira. They say they don't work forever but I at least got 3 and a half years out of it. Plus Humira helped pay for the cost of the medication"
238,Humira (adalimumab) for Rheumatoid Arthritis,3,"I have taken my first injection four days ago and after half a day with just a runny nose and headache, I have become very unwell with such bad backache and pain under my shoulder blade, temperature and nightmares/depression I am feeling I may have to stop before the next one.
Has anyone out there felt like this after and weighed up the stiffness to severe new pains?"
239,Humira (adalimumab) for Rheumatoid Arthritis,1,"I started Humira injectable twice a week in conjunction with Methrotexate and Mobic since March of this year with no side effects, but no felt benefits either. I had to stop due to surgery and restarted once weekly three weeks ago and been having severe joint pain since I restarted Humira requiring a short course of cortisone. Resume Mobic a week ago. Joint pain continues and just haven't felt myself since I started Humira. The pain wakes me up at night and I am just miserable. This is no quality of life. Thank you all for sharing your experiences, it is a comfort to know other people understand your symptoms and that you are not alone! I don't think this is the best medicine for me. :("
240,Humira (adalimumab) for Ankylosing Spondylitis,,"I am a 46 yr old male. Diagnosed 16 yrs ago with psoriatic arthritis and ulcerative colitis. Treated with meloxicam and sulfasalazine but I have been prescribed so many different NSAIDs over the years. Have had iritis, and small patches of psoriasis on knees. Recently, disease has progressed to AS. Pain in hips, lower back and neck was terrible. Months of pain. My RA Dr suggested Humira. I researched and initially was nervous of side effects but honestly, the pain was so bad I needed to try something. I took my first injection two days ago and already my pain is nearly gone. What a difference in such a short time. No side effects yet but I am staying positive."
241,Humira (adalimumab) for Psoriasis,10,"I have suffered with psoriasis for 15 years of my life and at it's worst point it covered 85% of my body. I've always had good luck with medication like clobetasol and talconex but it always came back - seemingly, with a vengence at times.  It affected my self esteem, my confidence and absolutey affected me mentally. I went to my dermatologist after hearing about Humira and after going through all the testing and having it approved through my insurance, I gave myself my first two shots four days ago.  My skin is almost completely cleared and the difference is remarkable. I recommend this drug to anyone who suffers - give it a try, you may love it.  For the first time in 28 years, I feel like normal girl."
242,Humira (adalimumab) for Psoriatic Arthritis,10,"Fantastic response, no sides effects except for occasional bruise. I thought it would take a few weeks/ months to really notice a difference. Reality was big impact after only a few days. One of those cliche ‘feel I have been given my life back’ moments. I really have very little signs of any disease. I was very concerned about risks but strangely I have not even had a common cold in 2 years !"
243,Humira (adalimumab) for Crohn's Disease,10,I have been on Humira for 3 years. The injection is painful but the results are excellent. I do not even feel that I have a disease any longer. Lots of energy and feeling normal is so worth any of the possible side effects. Just be careful and stay away when possible from any ill persons or high populated areas.
244,Humira (adalimumab) for Psoriasis,9,"I have had psoriasis since I was 16 years old, covering over 90% of my body. I am a woman of 53 now, I have used creams, to no avail. I have been on Humira injections for about 18 months and I am clear and was actually able to wear a bathing suit to the beach this year with no signs anywhere of psoriasis.  It has truly changed my life and my outlook.  I am after all these years finally clear, normal.  I don't have to hide myself with long sleeves and long pants year round, answer those awkward questions and looks from strangers. Truly a wonderful medication. No side effects as of yet, not looking for any this far along in treatment. The shot does tend to be a bit painful, through the few moments of pain, I receive clear skin."
245,Humira (adalimumab) for Crohn's Disease,10,"I have been on many medications but have felt indifferent about them as I never really saw my symptoms improving or worsening. I just always felt horrible and accepted that this was my life with chronic illness! I feel so strongly about how wonderful Humira is that I had to write my first review. Humira changed my life in less than two months. I am an active student athlete and have never felt healthier than I do now! I recommend it to anyone and everyone who suffers. I know people respond differently to meds but as much as it has helped me, I think it is more than worth a try. I ended up on Humira because my insurance would not cover Remicaid or Cimzia. I am SO glad it worked out the way it did."
246,Humira (adalimumab) for Rheumatoid Arthritis,5,"Diagnosed with RA at 22yrs. Started with Plaquenil, it helped for a year then we added methotrexate. Took some time to get the dose right due to nausea. That combo helped for about 2 years. Then added Enbrel. Added Meloxicam. Prednisone as needed for the worst flareups. After serious ulcers I stopped the meloxicam and prednisone as they both increase changes of getting ulcers. Enbrel only worked for 1.5yrs. Just switched to Humira, still taking plaquenil and methotrexate. I prefer the syringes to the pens. Some relief in the first week, hoping it works for more than a year or two. Many illnesses due to the compromised immune system, and extreme fatigue, but my RA is so severe I am fully disabled without these meds.  I hope I can find one that will last a little longer. With the Humira support card, I have not had to pay for this drug."
247,Humira (adalimumab) for Ankylosing Spondylitis,9,"I’ve been on Humira for about 2 full years. The first 3-4 injections (taken biweekly, so 6-8 weeks) I wanted to stop taking it because the side effects were terrible. I’d have hot flashes, I’d be sweating but freezing, my hairs would stand up after taking injection, I’d throw up, wake up super sweaty. But after that 2 month period, WOW IS THE DIFFERENCE AMAZING. I have AS, I also have 2 replaced hips, and a left knee that also needs replacing. I’ve been dealing with this for about 8 years and ever since humira has came into my life it’s been so much better. It’s not where I wanna be but it’s better than where I was at/headed."
248,Humira (adalimumab) for Ulcerative Colitis,6,"My daughter is taking Humira after all other treatments for UC have failed her.  Her GI doctor just told her once you start Humira (she has been on it now for several months) you cannot stop using it.  Stopping could result in a massive flare up and loss of her colon.
So she has to take this stuff, which can have unbelievable side effects, her whole life?  Has anyone else's doctor told them this?"
249,Humira (adalimumab) for Rheumatoid Arthritis,3,"18 yrs old; diagnosed with JRA in Jan. 2018. Take 6 pills of Methotrexate every week, one Humira shot every 2 weeks. Not the healthiest eater, notice when I do eat healthy major differences in effects. Take medications every Saturday night to sleep off pain. When I didn't care about diet I felt extreme effects of a headache and pain in the stomach. Noticed that if I eat a lot of food that day my effects aren't bad. Watch your diet !! With Humira the first few months I noticed pain went away. Was so happy, now I think that it isn't helping anymore. Feet still ache because of cold weather but the first few months I had no pain. I read reviews and the mention of tinnitus comes a lot. I thought ears may ring/hum because wearing earbuds but starting to believe that it may be caused by Humira. My doc told me I may need to take another med or Humira every week. After one year I shouldn't be given more medication but instead see improvements."
